Player,Agility,Endurance,Service,Volley,Forehand,Backhand,Cost,Level
JONAH_1,3,2,3,2,4,3,0,1
JONAH_2,3,4,5,3,7,5,400,2
JONAH_3,4,4,5,4,8,6,1400,3
JONAH_4,6,5,6,4,9,7,3200,4
JONAH_5,7,6,7,5,10,8,6000,5
JONAH_6,8,6,8,6,11,9,11000,6
JONAH_7,9,7,9,6,13,10,17200,7
JONAH_8,10,8,10,7,14,11,26000,8
JONAH_9,12,8,11,8,15,12,36000,9
JONAH_10,13,9,12,8,16,13,52000,10
JONAH_11,14,10,13,9,17,14,66000,11
HOPE_1,3,3,3,4,4,4,0,1
HOPE_2,5,4,4,4,5,5,400,2
HOPE_3,6,5,4,5,6,6,1400,3
HOPE_4,7,6,5,6,7,7,3200,4
HOPE_5,9,6,6,7,8,8,6000,5
HOPE_6,10,7,7,8,9,8,11000,6
HOPE_7,12,8,8,9,10,9,17200,7
HOPE_8,13,9,8,10,11,10,26000,8
HOPE_9,15,9,9,11,12,11,36000,9
HOPE_10,16,10,10,12,13,12,52000,10
HOPE_11,18,11,11,13,14,13,66000,11
FLORENCE_1,6,6,1,2,3,2,0,1
FLORENCE_2,7,8,2,2,4,4,1400,2
FLORENCE_3,9,9,2,3,5,5,3200,3
FLORENCE_4,11,10,3,4,6,5,6000,4
FLORENCE_5,12,11,3,4,7,6,11000,5
FLORENCE_6,14,13,4,5,7,7,17200,6
FLORENCE_7,16,14,4,5,8,8,26000,7
FLORENCE_8,18,15,5,6,9,9,36000,8
FLORENCE_9,20,16,5,7,10,10,52000,9
FLORENCE_10,21,17,6,7,11,10,66000,10
FLORENCE_11,23,19,7,8,12,11,110000,11
LEO_1,3,2,5,5,4,3,0,1
LEO_2,5,2,6,7,5,4,6000,2
LEO_3,6,3,8,8,6,5,11000,3
LEO_4,7,3,9,9,7,5,17200,4
LEO_5,9,4,10,10,8,6,26000,5
LEO_6,10,5,11,11,8,7,36000,6
LEO_7,12,5,12,12,9,8,52000,7
LEO_8,13,6,14,14,10,9,66000,8
LEO_9,15,6,15,15,11,10,86000,9
LEO_10,16,7,16,16,12,10,110000,10
LEO_11,18,7,17,17,13,11,180000,11
KAITO_1,6,6,1,2,3,3,0,1
KAITO_2,7,8,2,3,4,4,6000,2
KAITO_3,9,9,2,4,5,5,11000,3
KAITO_4,11,10,3,4,6,5,17200,4
KAITO_5,12,11,3,5,7,6,26000,5
KAITO_6,14,13,4,6,7,7,36000,6
KAITO_7,16,14,4,6,8,8,52000,7
KAITO_8,18,15,5,7,9,9,66000,8
KAITO_9,20,16,5,8,10,10,86000,9
KAITO_10,21,17,6,8,11,10,110000,10
KAITO_11,23,19,7,9,12,11,140000,11
KAITO_12,25,20,7,10,13,12,180000,12
KAITO_13,27,21,8,10,13,13,250000,13
VIKTORIA_1,3,2,5,6,3,3,0,1
VIKTORIA_2,5,2,7,7,4,4,17200,2
VIKTORIA_3,6,3,8,8,5,5,26000,3
VIKTORIA_4,6,5,6,4,10,7,36000,4
VIKTORIA_5,7,6,7,5,11,8,52000,5
VIKTORIA_6,8,6,8,6,13,9,66000,6
VIKTORIA_7,9,7,9,6,14,10,86000,7
VIKTORIA_8,10,8,10,7,15,11,110000,8
VIKTORIA_9,12,8,11,8,16,12,140000,9
VIKTORIA_10,13,9,12,8,18,13,180000,10
VIKTORIA_11,14,10,13,9,19,14,210000,11
VIKTORIA_12,16,10,14,10,20,15,250000,12
VIKTORIA_13,17,11,15,10,22,16,440000,13
OMAR_1,3,2,5,6,3,3,0,1
OMAR_2,5,2,7,7,4,4,11000,2
OMAR_3,5,2,7,7,4,4,0,3
OMAR_4,5,2,7,7,4,4,0,4
OMAR_5,9,4,10,10,7,6,0,5
OMAR_6,9,4,10,10,7,6,0,6
OMAR_7,9,4,10,10,7,6,0,7
OMAR_8,9,4,10,10,7,6,0,8
OMAR_9,9,4,10,10,7,6,0,9
OMAR_10,9,4,10,10,7,6,0,10
OMAR_11,9,4,10,10,7,6,0,11
OMAR_12,9,4,10,10,7,6,0,12
OMAR_13,21,8,20,20,14,13,0,13
DIANA_1,4,1,5,6,3,3,0,1
DIANA_2,5,2,6,7,4,4,52000,2
DIANA_3,7,2,7,8,5,5,66000,3
DIANA_4,8,3,8,9,6,6,86000,4
DIANA_5,10,3,9,11,7,7,110000,5
DIANA_6,11,4,10,12,8,7,140000,6
DIANA_7,13,4,11,13,9,8,180000,7
DIANA_8,14,4,12,14,10,9,210000,8
DIANA_9,16,5,13,16,10,10,250000,9
DIANA_10,17,5,15,17,11,11,280000,10
DIANA_11,19,6,16,18,12,12,360000,11
DIANA_12,20,6,17,19,13,13,440000,12
DIANA_13,22,7,18,20,14,14,700000,13
MEILI_1,3,3,3,4,4,4,0,1
MEILI_2,5,4,4,4,5,5,140000,2
MEILI_3,6,5,4,5,6,5,180000,3
MEILI_4,7,6,5,6,7,6,210000,4
MEILI_5,9,6,6,7,8,7,250000,5
MEILI_6,10,7,7,8,9,8,280000,6
MEILI_7,12,8,8,9,10,9,0,7
MEILI_8,13,9,8,10,12,10,0,8
MEILI_9,15,9,9,11,13,11,0,9
MEILI_10,20,10,10,11,12,10,0,10
MEILI_11,22,11,10,12,13,11,0,11
MEILI_12,21,12,11,13,13,12,0,12
MEILI_13,21,12,12,14,17,15,0,13
LUC_1,3,2,4,2,6,4,0,1
LUC_2,4,3,5,3,7,5,140000,2
LUC_3,5,4,6,3,9,6,0,3
LUC_4,8,4,7,4,8,6,210000,4
LUC_5,8,5,8,4,11,9,0,5
LUC_6,9,5,9,5,12,10,0,6
LUC_7,11,6,10,6,14,11,360000,7
LUC_8,16,6,10,6,13,10,0,8
LUC_9,15,7,11,7,14,11,0,9
LUC_10,19,7,12,8,15,12,0,10
LUC_11,18,8,13,8,16,13,0,11
LUC_12,19,9,14,9,17,14,0,12
LUC_13,19,10,16,10,21,17,0,13